,STATE/UT,RAPE,KIDNAPPING,DOWRY,ASSAULT,INSULT,CRUELTY,TRAFFECKING
0,ANDHRA PRADESH,871,765,420,3544,2271,5791,7
1,ARUNACHAL PRADESH,33,55,0,78,3,11,0
2,ASSAM,817,1070,59,850,4,1248,0
3,BIHAR,888,518,859,562,21,1558,83
4,CHHATTISGARH,959,171,70,1763,161,840,0
5,GOA,12,6,2,17,7,11,0
6,GUJARAT,286,857,67,756,111,3667,0
7,HARYANA,398,297,285,478,401,1513,0
8,HIMACHAL PRADESH,124,105,10,310,14,317,0
9,JAMMU & KASHMIR,169,504,13,622,288,50,0
10,JHARKHAND,567,279,217,297,5,484,2
11,KARNATAKA,293,271,220,1665,81,1755,0
12,KERALA,562,97,27,1942,81,2561,0
13,MADHYA PRADESH,2851,668,609,7063,751,2562,0
14,MAHARASHTRA,1302,611,308,2823,1120,6090,1
15,MANIPUR,20,62,0,21,0,5,0
16,MEGHALAYA,26,11,0,25,0,4,0
17,MIZORAM,52,1,0,52,0,16,3
18,NAGALAND,17,6,0,6,0,0,0
19,ODISHA,790,434,294,1655,458,1266,0
20,PUNJAB,298,324,159,372,47,1128,0
21,RAJASTHAN,1049,2165,376,2878,56,5532,1
22,SIKKIM,8,2,0,0,14,0,0
23,TAMIL NADU,423,607,191,1773,1012,815,14
24,TRIPURA,102,35,16,58,0,227,0
25,UTTAR PRADESH,1958,2879,2211,2870,2575,7365,0
26,UTTARAKHAND,74,126,56,103,84,301,0
27,WEST BENGAL,709,695,265,954,48,3859,3
28,A&N ISLANDS,3,2,0,19,1,9,0
29,CHANDIGARH,18,50,3,24,15,36,0
30,D&N HAVELI,6,2,0,7,0,4,0
31,DAMAN & DIU,0,3,0,0,0,4,0
32,DELHI,381,964,113,502,90,138,0
33,LAKSHADWEEP,0,0,0,0,0,0,0
34,PUDUCHERRY,9,3,1,35,27,3,0
35,ANDHRA PRADESH,1002,854,449,3799,2024,7018,0
36,ARUNACHAL PRADESH,38,38,0,68,2,13,0
37,ASSAM,970,1276,70,984,7,1694,0
38,BIHAR,1040,744,927,621,6,1577,38
39,CHHATTISGARH,992,154,85,1483,147,653,0
